Date,QQQ,SPY,VIX
2017-07-25,136.28330993652344,215.5932159423828,9.430000305175781
2017-07-26,136.72686767578125,215.6019744873047,9.600000381469727
2017-07-27,135.8679962158203,215.40150451660156,10.109999656677246
2017-07-28,135.75469970703125,215.14881896972656,10.289999961853027
2017-07-31,135.1790008544922,215.02687072753906,10.260000228881836
2017-08-01,135.49049377441406,215.50611877441406,10.09000015258789
2017-08-02,135.8585205078125,215.61070251464844,10.279999732971191
2017-08-03,135.3300323486328,215.1923828125,10.4399995803833
2017-08-04,135.5753936767578,215.5845184326172,10.029999732971191
2017-08-07,136.4342803955078,215.9853515625,9.930000305175781
2017-08-08,136.19825744628906,215.453857421875,10.960000038146973
2017-08-09,136.01901245117188,215.44508361816406,11.109999656677246
2017-08-10,133.10267639160156,212.404052734375,16.040000915527344
2017-08-11,134.112548828125,212.7177276611328,15.510000228881836
2017-08-14,135.83969116210938,214.82643127441406,12.329999923706055
2017-08-15,135.93406677246094,214.80030822753906,12.039999961853027
2017-08-16,136.1699981689453,215.17498779296875,11.739999771118164
2017-08-17,133.38583374023438,211.82020568847656,15.550000190734863
2017-08-18,133.29144287109375,211.4890899658203,14.260000228881836
2017-08-21,133.1215362548828,211.6546630859375,13.1899995803833
2017-08-22,135.15069580078125,213.86793518066406,11.350000381469727
2017-08-23,134.66940307617188,213.1011199951172,12.25
2017-08-24,134.27297973632812,212.6044464111328,12.229999542236328
2017-08-25,133.98985290527344,213.1011199951172,11.279999732971191
2017-08-28,134.40512084960938,213.10983276367188,11.319999694824219
2017-08-29,134.93360900878906,213.35377502441406,11.699999809265137
2017-08-30,136.51919555664062,214.36460876464844,11.220000267028809
2017-08-31,137.9820556640625,215.6542205810547,10.59000015258789
2017-09-01,137.79335021972656,215.95921325683594,10.130000114440918
2017-09-05,136.55694580078125,214.40814208984375,12.229999542236328
2017-09-06,136.9722442626953,215.1400909423828,11.630000114440918
2017-09-07,137.29310607910156,215.11395263671875,11.550000190734863
2017-09-08,136.1039276123047,214.86126708984375,12.119999885559082
2017-09-11,137.67063903808594,217.15296936035156,10.729999542236328
2017-09-12,138.00096130371094,217.88491821289062,10.579999923706055
2017-09-13,138.18966674804688,217.98948669433594,10.5
2017-09-14,137.3780059814453,217.91981506347656,10.4399995803833
2017-09-15,137.8499298095703,218.21310424804688,10.170000076293945
2017-09-18,137.6692657470703,218.67723083496094,10.149999618530273
2017-09-19,137.90573120117188,218.8961944580078,10.180000305175781
2017-09-20,137.4801788330078,218.97499084472656,9.779999732971191
2017-09-21,136.6383514404297,218.38827514648438,9.670000076293945
2017-09-22,136.50588989257812,218.43203735351562,9.59000015258789
2017-09-25,135.06817626953125,217.98544311523438,10.210000038146973
2017-09-26,135.4181365966797,218.11679077148438,10.170000076293945
2017-09-27,136.6383514404297,218.9662322998047,9.869999885559082
